"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"BarrelJack_Horizontal";1;"Barrel_Jack_Switch";;;
2;"D5,D4";"LED_D5.0mm";2;"Delay";;;
3;"D3,D2";"LED_D5.0mm";2;"In";;;
4;"R13,R12,R3,R4,R7,R10,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";7;"10k";;;
5;"RV3,RV2";"Potentiometer_ACP_CA9-V10_Vertical";2;"100k";;;
6;"C14,C13";"C_Disc_D3.8mm_W2.6mm_P2.50mm";2;"82n";;;
7;"C12";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"3,3n";;;
8;"C11,C6";"C_Disc_D3.8mm_W2.6mm_P2.50mm";2;"560p";;;
9;"C10";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"10n";;;
10;"C3";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"3,9n";;;
11;"C16,C15,C2";"C_Disc_D3.8mm_W2.6mm_P2.50mm";3;"100n";;;
12;"C1,C8,C17";"CP_Radial_D6.3mm_P2.50mm";3;"10u";;;
13;"C4,C5,C7";"CP_Radial_D6.3mm_P2.50mm";3;"4,7u";;;
14;"C9";"CP_Radial_D6.3mm_P2.50mm";1;"47u";;;
15;"D1";"D_A-405_P7.62mm_Horizontal";1;"D";;;
16;"J2";"Jack_3.5mm_Ledino_KB3SPRS_Horizontal";1;"In";;;
17;"J3";"Jack_3.5mm_Ledino_KB3SPRS_Horizontal";1;"Out";;;
18;"R1,R2,R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"15k";;;
19;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"4,7k";;;
20;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"5,6k";;;
21;"R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"2,2k";;;
22;"RV1";"Potentiometer_ACP_CA9-V10_Vertical";1;"50k";;;
23;"U1";"TO-220-3_Horizontal_TabDown";1;"L7805";;;
24;"U2";"DIP-16_W7.62mm_LongPads";1;"PT2399";;;
