"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"200";;;
2;"J8";"Pin_D1.0mm_L10.0mm";1;"GND";;;
3;"J2";"Pin_D1.0mm_L10.0mm";1;"out";;;
4;"R15,R14,R13,R12,R11,R10,R9,R8,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";9;"1k";;;
5;"J7";"BarrelJack_Horizontal";1;"Barrel_Jack_MountingPin";;;
6;"RV2";"Potentiometer_ACP_CA9-V10_Vertical_Hole";1;"1M";;;
7;"RV1";"Potentiometer_ACP_CA9-V10_Vertical_Hole";1;"50k ";;;
8;"R3,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"1M";;;
9;"J6";"Jack_3.5mm_Ledino_KB3SPRS_Horizontal";1;"mic in";;;
10;"J5";"Jack_3.5mm_Ledino_KB3SPRS_Horizontal";1;"mic out";;;
11;"J4";"Jack_3.5mm_Ledino_KB3SPRS_Horizontal";1;"sq out";;;
12;"C1,C4";"C_Disc_D3.8mm_W2.6mm_P2.50mm";2;"100n";;;
13;"Q1";"TO-220-3_Vertical";1;"IRF540N";;;
14;"D4,D3,D2,D1";"LED_D5.0mm";4;"LED";;;
15;"C9,C8,C7,C2";"CP_Radial_D6.3mm_P2.50mm";4;"10uf";;;
16;"U2";"DIP-8_W7.62mm_LongPads";1;"LM555";;;
17;"R5,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"10k";;;
18;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"Output";;;
19;"C6";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"10n";;;
20;"C5";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"22p";;;
21;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Input";;;
22;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"510";;;
23;"U1";"DIP-8_W7.62mm_LongPads";1;"TL072";;;
